"Range" "Sequential" "Async (Batch Size 16)" "Async (Batch Size 2)" "Async (Batch Size 32)" "Async (Batch Size 4)" "Async (Batch Size 8)" "Cuda - Coarse: 1 warp" "Cuda - Coarse: 16 warps" "Cuda - Coarse: 32 warps" "Cuda - Fine: 1 warp" "Cuda - Fine: 16 warps" "Cuda - Fine: 32 warps" "Cuda - Hybrid: 1 warp" "Cuda - Hybrid: 16 warps" "Cuda - Hybrid: 32 warps" "Omp (Dynamic, 1)" "Omp (Dynamic, 10)" "Omp (Static, 1)" "Omp (Static, 10)" 
1900    0.0066101780    0.0472428498    0.0169336351    0.0560700221    0.0131035718    0.0460040282    0.0008532221    0.0007905835    0.0011754456    0.0073191730    0.0073975009    0.0080059753    0.0003062320    0.0003416412    0.0004070178    0.0011358595    0.0011225066    0.0010903310    0.0011171700 
2000    0.0072747181    0.0498557647    0.0180911728    0.0589001943    0.0139615680    0.0485177528    0.0008754130    0.0008953696    0.0012724590    0.0075699614    0.0079021123    0.0083679886    0.0003270343    0.0003616663    0.0004372284    0.0013867915    0.0012387405    0.0012087818    0.0012376782 
2100    0.0079932019    0.0521257163    0.0191290358    0.0614379433    0.0148221460    0.0505534822    0.0008740773    0.0009194874    0.0012435439    0.0078416889    0.0081954647    0.0087498738    0.0003356947    0.0003785997    0.0004516630    0.0013592151    0.0013636935    0.0013300390    0.0013667582 
2200    0.0087055241    0.0552655481    0.0202914835    0.0646193243    0.0156692300    0.0531950373    0.0009169279    0.0009136169    0.0012383117    0.0082067557    0.0086377214    0.0092159460    0.0003618629    0.0004001996    0.0004878507    0.0015153582    0.0014952446    0.0014648929    0.0016646157 
2300    0.0095017336    0.0578799402    0.0215318310    0.0680103597    0.0167268257    0.0565434668    0.0009643286    0.0009312948    0.0012764470    0.0086288806    0.0091015285    0.0096641491    0.0003754089    0.0004176568    0.0005167534    0.0019189714    0.0016314669    0.0015954407    0.0016829251 
2400    0.0102264679    0.0606166953    0.0226910646    0.0705501506    0.0174628909    0.0583200459    0.0009902517    0.0009650778    0.0013152102    0.0091230809    0.0093471148    0.0100678293    0.0003885760    0.0004355713    0.0005235178    0.0017871338    0.0017736243    0.0017373233    0.0017725133 
2500    0.0110597522    0.0630594146    0.0237708638    0.0739795145    0.0186575643    0.0603825912    0.0010435141    0.0011232926    0.0012435696    0.0093588101    0.0099654202    0.0107063018    0.0004187655    0.0004640681    0.0005695581    0.0019326321    0.0019179308    0.0018988801    0.0019351996 
2600    0.0120719805    0.0659136423    0.0250137969    0.0759675670    0.0193520870    0.0626908917    0.0010358828    0.0011131187    0.0012444170    0.0097059416    0.0101401061    0.0110705756    0.0004334809    0.0004958121    0.0005746052    0.0027394328    0.0027878410    0.0023169759    0.0025277861 
2700    0.0127344280    0.0675714051    0.0263275872    0.0791896799    0.0203140858    0.0657409932    0.0010829403    0.0011209102    0.0014001636    0.0100432142    0.0105138711    0.0114494643    0.0004467585    0.0004991455    0.0005941984    0.0025480738    0.0024318357    0.0025721838    0.0028163803 
2800    0.0137731739    0.0701109941    0.0274527715    0.0818377992    0.0212121177    0.0681698349    0.0011686132    0.0011202785    0.0014575050    0.0103965586    0.0109898208    0.0118897257    0.0004677428    0.0005200902    0.0006213266    0.0028457321    0.0024173158    0.0023559363    0.0027113956 
2900    0.0145465706    0.0727953616    0.0289037361    0.0853754355    0.0222176955    0.0705084890    0.0011396626    0.0011191120    0.0016641775    0.0111072683    0.0115225943    0.0123794125    0.0004917161    0.0005442391    0.0006503957    0.0028395218    0.0026599759    0.0025279065    0.0026540757 
3000    0.0156386786    0.0757277802    0.0297794779    0.0875245564    0.0232385549    0.0728810088    0.0011658840    0.0012734073    0.0018667460    0.0111227500    0.0117733444    0.0130801870    0.0005151751    0.0005736241    0.0006800275    0.0028646356    0.0027449180    0.0029267948    0.0028700399 
3100    0.0169946384    0.0779625129    0.0313054279    0.0907963404    0.0240326555    0.0755380781    0.0011922978    0.0012944772    0.0019157620    0.0115808224    0.0120975333    0.0132738440    0.0005381146    0.0005953072    0.0007037533    0.0031089648    0.0029383661    0.0030256537    0.0029356378 
3200    0.0177687445    0.0805072929    0.0324244022    0.0938496782    0.0250713325    0.0780600905    0.0012267119    0.0012948797    0.0019116157    0.0118685812    0.0124528764    0.0137284631    0.0005583838    0.0006229528    0.0007320189    0.0032433522    0.0031183432    0.0031455337    0.0032367822 
3300    0.0189154524    0.0831059719    0.0337209423    0.0970615671    0.0261703777    0.0805869854    0.0012653608    0.0012948334    0.0019130543    0.0122402300    0.0128730063    0.0141741290    0.0005834060    0.0006501001    0.0007710855    0.0032988248    0.0034209383    0.0034111148    0.0037024155 
3400    0.0199178120    0.0860617781    0.0349962913    0.0997711286    0.0271510346    0.0827405463    0.0013192293    0.0013022815    0.0019158796    0.0127407875    0.0132529694    0.0146906243    0.0006195219    0.0006894536    0.0007987945    0.0039613261    0.0035162919    0.0041052986    0.0042422351 
3500    0.0211031192    0.0882403539    0.0363706496    0.1024112822    0.0281962084    0.0855702431    0.0013372251    0.0014744461    0.0019206301    0.0130100147    0.0136471566    0.0152355887    0.0006348919    0.0007025233    0.0008254679    0.0038860259    0.0039785035    0.0038979919    0.0042329877 
3600    0.0220904119    0.0907863763    0.0376385997    0.1055168202    0.0291022338    0.0883508470    0.0014005718    0.0015065892    0.0019199785    0.0134010900    0.0141272149    0.0156005683    0.0006703375    0.0007326334    0.0008596144    0.0039228463    0.0039356907    0.0040920475    0.0044667462 
3700    0.0234301226    0.0932408350    0.0390396674    0.1081569615    0.0301479643    0.0907125332    0.0014044333    0.0015058208    0.0019184133    0.0138718469    0.0147262810    0.0161813552    0.0006964986    0.0007612426    0.0009064929    0.0043158855    0.0041523709    0.0045172460    0.0047920135 
