
"Range 0-n" "Sequential" "Cuda - Coarse: 1 warp" "Cuda - Coarse: 16 warps" "Cuda - Coarse: 32 warps" "Cuda - Fine: 1 warp" "Cuda - Fine: 16 warps" "Cuda - Fine: 32 warps" "Cuda - Hybrid: 1 warp" "Cuda - Hybrid: 16 warps" "Cuda - Hybrid: 32 warps" "Omp (Dynamic, 1)" "Omp (Dynamic, 10)" "Omp (Static, 1)" "Omp (Static, 10)" "std::Async" 
550    0.0007298962    0.0003021590    0.0003107117    0.0003145493    0.0018696748    0.0018667243    0.0018762525    0.0001564572    0.0001602151    0.0001728827    0.0001314420    0.0001087645    0.0001015112    0.0001089382    0.0000000890 
560    0.0007570191    0.0003046800    0.0003109995    0.0003168855    0.0018990561    0.0018978301    0.0019087787    0.0001583474    0.0001618107    0.0001735113    0.0001350732    0.0001128019    0.0001049100    0.0001124026    0.0000000897 
570    0.0007842620    0.0003090235    0.0003111593    0.0003232933    0.0019308312    0.0019315565    0.0019422320    0.0001568172    0.0001613441    0.0001747082    0.0001387944    0.0001157558    0.0001086782    0.0001162003    0.0000000890 
580    0.0008121533    0.0003089828    0.0003107853    0.0003377946    0.0019617018    0.0019629078    0.0019739909    0.0001567367    0.0001616408    0.0001748002    0.0001425188    0.0001197666    0.0001120537    0.0001196771    0.0000000894 
590    0.0008407745    0.0003113935    0.0003111956    0.0003343215    0.0019930622    0.0019952190    0.0020072900    0.0001581274    0.0001622278    0.0001756212    0.0001456958    0.0001237888    0.0001158963    0.0001236385    0.0000000897 
600    0.0008692698    0.0003138891    0.0003155851    0.0003295132    0.0020243485    0.0020282667    0.0020402161    0.0001581573    0.0001625141    0.0001760505    0.0001593269    0.0001280680    0.0001196579    0.0001276249    0.0000000887 
610    0.0008987547    0.0003169973    0.0003228736    0.0003210574    0.0020567326    0.0020614760    0.0020743444    0.0001600588    0.0001640478    0.0001776461    0.0001534139    0.0001319284    0.0001234937    0.0001319824    0.0000000891 
620    0.0009284667    0.0003190524    0.0003175922    0.0003238310    0.0021021387    0.0020939017    0.0021062518    0.0001601165    0.0001642679    0.0001781075    0.0001571794    0.0001360954    0.0001272948    0.0001383800    0.0000000876 
630    0.0009586774    0.0003217087    0.0003071420    0.0003268020    0.0021199387    0.0021264930    0.0021415905    0.0001613801    0.0001652485    0.0001791088    0.0001611290    0.0001400756    0.0001313706    0.0001399622    0.0000000894 
640    0.0009897115    0.0003232644    0.0003162568    0.0003344711    0.0021525685    0.0021612560    0.0021727617    0.0001603449    0.0001655238    0.0001797569    0.0001652848    0.0001440027    0.0001353826    0.0001441589    0.0000000880 
